ID,User_Role,Model_Role,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
192,والد,بیٹا,والد آپ کو کسی ایسی حرکت پر ڈانٹ رہے ہیں جس سے انہوں نے پہلے منع کیا تھا۔,میں نے تمہیں پہلے ہی منع کیا تھا۔,معاف کر دیں ابو، مجھ سے غلطی ہو گئی، آئندہ ایسا نہیں ہوگا۔,,,,,,,"""میں سمجھتا ہوں، لیکن میں نے سوچا کہ یہ صحیح ہے",,,,,,,"""ابھی تو میں نے کچھ سمجھا نہیں کہ وہ کیا کہنے وال�",,,,,,,"""مجھے معاف کر دیں، میں نے سوچا نہیں تھا کہ یہ اتنا برا ہو گا۔""",,,,,,,مین نے آپ کی مدد سے کچھ کرتا ہے، لیکن آپ نے مجھے پہلے سے ک,,,,,,
193,دوست,دوست,آپ کا دوست آپ سے پیغام کا دیر سے جواب دینے پر ناراضی کا اظہار کر رہا ہے۔,تم نے میرے میسج کا جواب اتنی دیر سے دیا۔,معذرت، مگر میں بھی اپنے کاموں میں مصروف تھا۔,,,,,,,"""میں معاف ہو جاؤ، مجھے بہت مشغول تھا اور اس کی وجہ سے می�",,,,,,,"""مجھے افسوس ہے، میں اس وقت مصروف تھا اور تمہارا پیغام پڑھنے",,,,,,,میں بھی کچھ کام سے زدہ تھا، آج میں جواب دے سکتا ہوں۔,,,,,,,"""یار، مجھے واقعی معاف کر دینا، میں مصروف تھا۔ اب بتاؤ، کیا چل رہا ہے؟""",,,,,,
194,بزرگ رشتہ دار,نوجوان,ایک بزرگ رشتہ دار آپ کے رویے پر ناراضی کا اظہار کر رہا ہے اور آپ کے اندازِ گفتگو کی نشاندہی کر رہا ہے۔,تمہیں بات کرنے کا طریقہ نہیں ہے کہ بڑوں سے کیسے بات کرتے ہیں۔,معاف کیجیے، اگر میری بات سے بے ادبی محسوس ہوئی ہو، آئندہ خیال رکھوں گا۔,,,,,,,"""چلو، ابھی تو مجھے اس میں سیکھنا ہی پڑے گا، آپ کو سمجھ آئ�",,,,,,,میری میسمیں آپ کی طرف سے کچھ مسئلہ ہے، لیکن تمہاری نظر میں م,,,,,,,"""معاف کیجیے گا، میں کوشش کروں گا کہ بہتر بات کروں۔""",,,,,,,"""میں نے کیا غلط کیا ہے؟""
""مجھے یقین نہیں آتا کہ می",,,,,,
195,ساتھی,ساتھی,آپ کا ساتھی کام میں ہونے والی ایک معمولی لیکن اثر انداز غلطی کی نشاندہی کر رہا ہے۔,آپ کی اس غلطی کی وجہ سے کام میں تاخیر ہوئی ہے۔,معذرت، آئندہ خیال رکھوں گا۔,,,,,,,"""مجھے معاف کریں، میں نے دھیان نہیں دیا۔ میں جلد ہی اس مسئلے کو حل کر دوں گا۔""",,,,,,,"""کیا یہ بہت بڑی بات ہے؟ ایسا تو ہوتا ہی ہے،",,,,,,,میں کافی小心谨慎会说话,,,,,,,"""مجھے افسوس ہے، میری غلطی کی وجہ سے یہ ہوا ہے۔",,,,,,
196,دوست,دوست,آپ بیماری کے بعد اپنے دوست کی خیریت دریافت کر رہے ہیں۔,یار، طبیعت اب کیسی ہے؟ سنا تھا تم بیمار تھے۔,الحمدللہ، اب پہلے سے کافی بہتر ہوں، تمہاری فکر کا شکریہ۔,,,,,,,"""تمام صحت ہو!"" (Answer)
""مجھے خوشی ہے تم بہتر محسوس کر رہے",,,,,,,"""اللہ کا شکر، میں بہت اچھا ہوں، صرف چند دن کا علاج لگ گیا",,,,,,,"""شکریہ یار، اب بہتر ہوں۔ تھوڑی کمزوری محسوس ہو رہی ہے، لیکن ڈاکٹر نے کہا ہے کہ سب ٹھیک ہو جائے گا۔ تمہاری خیریت",,,,,,,میری طبیعت بہتر ہے، شکریہ کرتا ہوں کہ آپ نے میں کیلئے,,,,,,
197,دوست,دوست,آپ اپنے دوست کی خیریت دریافت کر رہے ہیں جو حال ہی میں طبیعت خراب ہونے کی وجہ سے پریشان تھا۔,یار، طبیعت اب ٹھیک ہے نا؟,ہاں یار، اب کافی بہتر ہوں، بس تھوڑی کمزوری ہے۔,,,,,,,"""جی بھائی، طبیعت ٹھیک ہوگئی ہے، اللہ تعالیٰ نے رحمت کی۔",,,,,,,"""ہاں یار، اب کافی بہتر ہوں۔ تمہاری فکر کا شکریہ!""",,,,,,,بلیں، بہتر ہو گئی ہے۔ شکریہ کرتا ہوں کہ آپ کی خیریت,,,,,,,"""جی ہاں، اب ٹھیک ہو گیا ہے۔ آپ کو بھی یاد ہوگا،",,,,,,
198,والد,بیٹا,والد آپ کی بیماری کے بعد آپ کی خیریت دریافت کر رہے ہیں۔,بیٹا، اب طبیعت کیسی ہے؟ میں تمہارے بارے میں فکر مند تھا۔,جی ابو، اللہ کا شکر ہے، اب کافی بہتر ہوں، آپ کی فکر کا شکریہ۔,,,,,,,اب طبیعت میں بہت خوبصورت ہے، والد جانتے ہوئے میں آپ کیلئے ب,,,,,,,والد جان، میری طبیعت بہت اچھی ہے، اللہ نے مجھے صحت یاب کر دیا,,,,,,,اب میں بہتر محسوس کر رہا ہوں، ابو۔ آپ کی دعاؤں کا اثر ہے۔ شکریہ!,,,,,,,"""والد جان، مجھے اللہ نے صحت بخشی ہے اور میں بہت خوش ہوں�",,,,,,
199,والدہ,بیٹی,والدہ بیماری کے بعد آپ کی خیریت دریافت کر رہی ہیں۔,بیٹا، اب طبیعت ٹھیک ہے نا؟ میں تمہارے لیے پریشان تھی۔,جی امی، اب کافی بہتر ہوں، آپ فکر نہ کریں ۔,,,,,,,جی ماں، اب میں بالکل ٹھیک ہوں۔ آپ کی دعاؤں کا اثر ہے۔ شکریہ!,,,,,,,جی ماں، مجھے بھی چکراتے تھوڑی دیر ہوئی تھی مگر اب ٹھیک,,,,,,,"""والدہ جانتی ہیں کہ اب میں بہت اچھا محسوس کر رہا ہو",,,,,,,مамا، ایسی بات نہ کرو، میں آپ کیلئے ہیں جیسا کہ آپ میں س,,,,,,
200,بزرگ رشتہ دار,نوجوان,ایک بزرگ رشتہ دار آپ کی صحت کے بارے میں فکر مندی سے پوچھ رہے ہیں۔,بیٹا، اب صحت کیسی ہے؟ سب خیریت تو ہے؟,جی الحمدللہ، سب خیریت ہے، آپ کی دعاؤں کا بہت شکریہ۔,,,,,,,"""ابکل بہت اچھا محسوس کر رہا ہوں، بزرگ رشتہ دار صاحب!"" [Answer] 
''مج",,,,,,,میں تمام وقت بہتر ہو رہا تھا، بابا۔,,,,,,,ابھی ٹھیک ہوں گا، چلو مجھے کھانا کرو۔,,,,,,,جی چچا، اللہ کا شکر ہے، میں بالکل ٹھیک ہوں۔ آپ کی دعاؤں کا اثر ہے۔ آپ کیسے ہیں؟,,,,,,
201,پڑوسی,پڑوسی,ایک پڑوسی آپ کی خیریت دریافت کر رہا ہے کیونکہ وہ آپ کی بیماری کے بارے میں سن چکا ہے۔,سنا ہے آپ کی طبیعت کچھ دنوں سے خراب تھی، اب کیسی ہے؟,جی، اب کافی بہتر ہوں، پوچھنے کا شکریہ۔,,,,,,,اللہ تعالیٰ نے میری صحت بہت اچھی دی ہے، اب ٹھیک ہو گی,,,,,,,شکریہ، آپ کی فکر کا بہت شکریہ۔ اب میں بہتر محسوس کر رہا ہوں، بس آرام کر رہا ہوں۔ آپ کیسے ہیں؟,,,,,,,"""تمام صحت ہو، شکریہ!"" (جواب)
Answer: ""تمام صحت ہو، شکريہ!"" (جواب)",,,,,,,میری بیماری کو کچھ بہتر بنانے کے لئے آپ نے کتنا خوبصورت کام کیا ہ,,,,,,
202,استاد,طالب علم,استاد بیماری کی وجہ سے غیر حاضری پر آپ کی خیریت دریافت کر رہے ہیں۔,کیا اب طبیعت سنبھل گئی ہے؟,جی سر، اللہ کا شکر ہے، اب طبیعت کافی بہتر ہے۔,,,,,,,جی استاد، الحمدللہ اب بہتر ہوں۔ آپ کی دعاوں کا شکریہ۔,,,,,,,جی، استاد صاحب، اب میں بہت اچھی طرح محسوس کر رہا ہوں، لیکن مجھے ای,,,,,,,خدا نے مراحت دے لیے ہے، استاد۔ صحت کیلئے کچھ وقت کھو کر گئے,,,,,,,"""جی، اب میں بہتر محسوس کر رہا ہوں اور جلد دوبارہ کلاس میں واپس",,,,,,
203,دوست,دوست,دوست مذاق اور شکوک بھرے انداز میں آپ کی بیماری کے بارے میں پوچھ رہا ہے۔,ابھی بھی ڈرامہ چل رہا ہے یا واقعی طبیعت خراب ہے؟,یار، واقعی طبیعت خراب تھی، ہر چیز کو مذاق مت سمجھا کرو۔,,,,,,,"""نہیں نہیں، مجھے تو لگتا تھا کہ تم سے زیادہ مجھے",,,,,,,"""یار، واقعی طبیعت کچھ ٹھیک نہیں ہے، ڈرامہ نہیں کر رہا۔ بس آرام کر رہا ہوں۔""",,,,,,,میری بیماری کچھ سخت ہے لیکن میں نے اس کے مقابلے میں قدم جاتے ہ,,,,,,,"""مجھے یقین نہیں آ رہا، بس ایک لمحے کا مزاج دیکھ لو!"" (مزاحی�",,,,,,
204,سینئر,جونیئر,سینئر بیماری کے بعد آپ کی صحت اور کام کی صلاحیت کے بارے میں پوچھ رہا ہے۔,اب طبیعت بہتر ہے؟ کیا آپ معمول کے مطابق کام کر سکیں گے؟,جی سر، اب کافی بہتر ہوں اور معمول کے مطابق کام کر سکتا ہوں۔,,,,,,,اللہ تعالیٰ نے شکر ہے، اب طبیعت بہت بہتر ہے۔ مجھ�,,,,,,,میری صحت بہتر ہو گئی ہے، لیکن کام کرنے کی صلاحیت تک چند ر,,,,,,,جی، الحمدللہ اب طبیعت بہتر ہے۔ میں معمول کے مطابق کام کرنے کے لیے تیار ہوں۔,,,,,,,"""جی ہاں، اب تک سب ٹھیک چل رہا ہے۔ بس ایک دو دن کے لئ�",,,,,,
205,ساس,بہو,ساس بیماری کے بعد  آپ کی کی خیریت دریافت کر رہی ہیں۔,بیٹا، اب کمزوری تو نہیں؟,جی امی جان، اب کافی بہتر ہوں، آپ کی دعاؤں اور فکر کا شکریہ۔,,,,,,,"""نہیں اماں، اب میں کافی بہتر محسوس کر رہی ہوں۔ آپ کی دعاؤں کا اثر ہے۔""",,,,,,,میں کچھ بہتر نہیں، لیکن میں کام کرتی ہوں تاکہ بیماری کی,,,,,,,"""جی ساس جان، اللہ نے مجھے اچھی صحت دی ہوئی ہے، شکر ہ�",,,,,,,"""سستی میری حالت کو سمجھنے کی کوشش کریں۔ میں جلد بحال ہونا چاہتا �",,,,,,
206,دوست,دوست,آپ کا دوست آپ کی بیماری کو سنجیدگی سے نہیں لے رہا اور طنزیہ انداز میں بات کر رہا ہے۔,اب بھی طبیعت کا بہانہ چل رہا ہے؟,یار، واقعی طبیعت خراب تھی، ہر بات کو مذاق مت سمجھا کرو۔,,,,,,,"""تمہاری طبیعت کے بارے میں سن کر مجھے افسوس ہوا، لیکن تمہارا یہ ب",,,,,,,"""ٹھیک ہے، ابھی تک تو صرف تھکاوٹ ہے، لیکن جب تک کہ میرا پیغ",,,,,,,میری بیماری کیسے طبیعت کا بہانہ چلتی ہے، وہ صرف میری پلیس,,,,,,,"""یار، یہ کوئی مذاق نہیں ہے، واقعی میری طبیعت ٹھیک نہیں ہے۔""",,,,,,
207,بزرگ,نوجوان,ایک بزرگ آپ کی صحت یابی کے بارے میں فکر مندی کا اظہار کرتے ہوئے دوائی باقاعدگی سے لینے کی تلقین کر رہے ہیں۔,بیٹا، دوائی وقت پر لے رہے ہو نا؟ لاپرواہی مت کرنا۔,جی، میں دوائی وقت پر لے رہا ہوں، آپ کی نصیحت کا شکریہ۔,,,,,,,جی جی، دادا، میں دوائی باقاعدگی سے لے رہا ہوں۔ آپ فکر نہ کریں، میں اپنی صحت کا خیال رکھ رہا ہوں۔,,,,,,,میری صحت کیلئے میں کسی وقت دوائی لیتا ہوں، آپ کی مدد کی جارہ,,,,,,,جی، بابا، مجھے تو یاد ہے لیکن کبھی کبھی فراموش ہو جاتا ہ�,,,,,,,"""جی ہاں، ابو جان!"" (اسلام) [ابو جان] ""میں پوری طرح محتاط ہوں اور دو",,,,,,
208,ساتھی,ساتھی,ایک ساتھی آپ کی بیماری کے اثرات کے بارے میں پوچھ رہا ہے۔,طبیعت کی وجہ سے کام متاثر تو نہیں ہوا؟,کام مکمل ہو گیا تھا، اتنی بھی طبیعت خراب نہیں تھی جتنا سمجھا جا رہا ہے۔,,,,,,,نہیں، مجھے بہت کمزور محسوس ہوتا ہے، اور جب تک چلن,,,,,,,"""نہیں، میں نے کوشش کی ہے کہ کام متاثر نہ ہو، لیکن کچھ دنوں میں تھکاوٹ محسوس ہوئی ہے۔""",,,,,,,"""نہیں، میرے پاس بہت اچھا سپورٹ سسٹم ہے جو مجھے اپنا",,,,,,,میری بیماری نے طبیعت کو کوئی تاثیر نہیں دلای۔,,,,,,
209,کزن,کزن,آپ کا کزن بیماری کے بعد آپ کی خیریت دریافت کر رہا ہے۔,اب کیسا محسوس کر رہے ہو؟,طبیعت تو بہتر ہے، لیکن بیماری نے کافی پریشان کر دیا تھا۔,,,,,,,میں بہت متعین ہوں، لیکن اچھا نہیں کہ بیماری کیلئے فاتح,,,,,,,"""میں ٹھیک ہوں، شکریہ! تمہاری دعاوں کا اثر ہے۔""",,,,,,,اللہ تعالیٰ نے مجھے اچھی صحت عطا فرما دی ہے، مگر اب بھی می,,,,,,,"""میں اب بھی تھکان اور کمزوری کا شکار ہوں، لیکن میں جلد صحت یاب �",,,,,,
210,دوست,دوست,دوست بے صبری اور ہلکے طنزیہ انداز میں آپ کی صحت کے بارے میں پوچھ رہا ہے۔,آخر کب تک بیمار رہنے کا ارادہ ہے؟,ہاں یار، اب بہتر ہوں، لیکن اتنی جلدی بھی سب کچھ ٹھیک نہیں ہوتا۔,,,,,,,"""یار، بس تھوڑا وقت لگ رہا ہے، لیکن تم تو جانتے ہو، میں ہمیشہ جلدی ٹھیک ہو جاتا ہوں!""",,,,,,,"""ارے، ابھی تو مجھے کسی بیماری کا احساس نہیں ہوا ہے، بس تھکا �",,,,,,,میری صحت سب سے زیادہ بہتر ہے، لیکن چند روزات کے لیے بیٹا ر,,,,,,,"""تمام حالات میں، مجھے ابھی تک کوئی خاص مسئلہ نہیں دیکھا گیا."" (ط",,,,,,
211,والد,بیٹا,والد آپ کو ایک ضروری کام فوراً مکمل کرنے کی ہدایت دے رہے ہیں۔,یہ کام ابھی مکمل کرو۔,جی ابو، ابھی کر دیتا ہوں۔,,,,,,,میں اس کام کو آج مکمل کر لیں گے۔,,,,,,,اب بھی؟ والد صاحب، مجھے کچھ گھنٹوں میں ہی یہ کام مکمل کرنا تھا,,,,,,,جی والد، میں فوراً شروع کر دیتا ہوں۔,,,,,,,"""جی، میں اس پر توجہ دوں گا اور جلدی مکمل کروں گا۔""
'''
The father is telling the son to",,,,,,
212,والدہ,بیٹی,والدہ گھر کے کام کے سلسلے میں آپ کو کچن صاف کرنے کی ہدایت دے رہی ہیں۔,کچن صاف کر دو۔,جی امی، ابھی کچن صاف کر دیتی ہوں۔,,,,,,,میں اس کے لیے آپ کی خدمत کرتی ہوں۔ کچن کیلئے آپ کیا مدد,,,,,,,"""جی، ماما!"" (اس نے اپنی ماں کو سن کر کچن صاف کرنا شروع کر دیا) 

[بیٹی نے ک",,,,,,,"""جی امی، میں ابھی کرتی ہوں۔""",,,,,,,جی، ماں! اب جانتوں کہ کیا کرنا ہے۔ میں اس پر جل्द از جلد کام کر لو�,,,,,,
213,استاد,طالب علم,استاد کلاس میں آپ کو بورڈ پر سوال حل کرنے کی ہدایت دے رہے ہیں۔,یہ سوال بورڈ پر حل کرو۔,جی سر، میں ابھی اس سوال کو حل کرنے کی کوشش کرتا ہوں۔,,,,,,,جی، اسٹیڈ سیر، یہ سوال بہت مشکل لگتا ہے لیکن مجھے کوشش کرنی چا,,,,,,,جی استاد، میں ابھی حل کرتا ہوں۔,,,,,,,"""جی، سر!"" (Answering the teacher) ""میں اسے حل کر سکتا ہوں."" (Solving the question on the board)
'''",,,,,,,میں اس سوال کا حل کر رہا ہوں۔,,,,,,
214,افسر,ملازم,افسرآپ کو ایک اہم رپورٹ وقت پر جمع کرانے کی ہدایت دے رہا ہے۔,یہ رپورٹ آج ہی مکمل کرکے جمع کرائیں۔,جی سر، میں یہ رپورٹ آج ہی جمع کرا دوں گا۔,,,,,,,جی افسر صاحب، میں یہ رپورٹ آج ہی مکمل کرنے کی کوشش کر رہا ہو,,,,,,,"""جی، سر، میں اس رپورٹ کو مکمل کرنے کے لئے اپنی بہترین کوشش کروں",,,,,,,بلکہ، میں آج بھی تمام معلومات جمع کرنے کے لئے سعات کچھ زیادہ کھولنے,,,,,,,جی افسر، میں اسے وقت پر مکمل کرکے جمع کراؤں گا۔,,,,,,
215,دوست,دوست,آپ دونوں ایک ساتھ کام کر رہے ہیں اور آپ کا دوست آپ سے فائل مانگ رہا ہے۔,یار، ذرا وہ فائل مجھے پکڑا دو۔,بالکل، میں ابھی دے دیتا ہوں۔,,,,,,,"""کیا تو اس میں کوئی خاص بات نہیں ہے؟ ابھی چند منٹ قبل ہی میں ن",,,,,,,"""کیوں نہیں؟ یہ میری فائلوں میں سب سے اہم ہے.""

دو",,,,,,,یار، میری کمپیوٹر سے بچنے کے لئے کچھ وقت لازم ہے، لیکن ص,,,,,,,"""ہاں، بالکل! یہ لو، یہ رہی فائل۔""",,,,,,
216,دوست,دوست,آپ کا دوست غصے یا جھنجھلاہٹ میں آپ کو خاموش رہنے کا کہہ رہا ہے۔,بس چپ ہو جاؤ اور میری بات سنو۔,ٹھیک ہے یار، لیکن آرام سے بھی بات کر سکتے ہو۔,,,,,,,"""کیا ہوا، مجھے کیا کرنا پڑا؟""",,,,,,,بس چپ ہو جاؤ اور میری بات سنو۔,,,,,,,"""ٹھیک ہے، میں خاموش رہوں گا، لیکن میری بات بھی سن لو۔""",,,,,,,"""مجھے یقین نہیں آ رہا کہ تم اس وقت بھی مجھ سے اختلاف کر رہے",,,,,,
217,سینئر,جونیئر,سینئر آپ سے میٹنگ کی دستاویزات جلد از جلد شیئر کرنے کا کہہ رہا ہے۔,میٹنگ کے نوٹس فوراً بھیج دو۔,جی سر، میں ابھی نوٹس بھیج دیتا ہوں۔,,,,,,,جی، سر! میٹنگ کے نوٹس ابھی چلے جاتے ہیں۔,,,,,,,بلکہ میں آپ کیلئے نوٹس بنائے گا اور پھر بھیج دوںgayn,,,,,,,"""جی، سینئر۔ میں نے ابھی ان کو بھیجا ہے۔""",,,,,,,"""جی، میں ابھی انہیں تیار کر کے بھیج دیتا ہوں۔""",,,,,,
218,سینئر,جونیئر,سینئر کام کے معیار سے مطمئن نہیں ہے اور  آپ کو اسے دوبارہ کرنے کا حکم دے رہا ہے۔,یہ کام دوبارہ کرنا پڑے گا۔,جی سر، میں اسے دوبارہ کر دیتا ہوں۔,,,,,,,صرف ایک بار کیا کرتے ہوئے یہاں تک کہ نہیں بتایا تھا ک,,,,,,,میری کام کی ضمانت چاہئیں، میں اسے بہت زیادہ تلاش کرتا ہو,,,,,,,"""ہوں، میں یقین نہیں کر سکتا کہ یہ صحیح ہے."" (اس",,,,,,,"""جی، میں اسے بہتر کرنے کی کوشش کروں گا۔ آپ کی رہنمائی کے لیے شکریہ۔""",,,,,,
219,چچا,بھتیجا,چچا گھر کے کام میں آپ سے مدد لے رہے ہیں۔,یہ سامان اندر رکھ دو۔,جی چچا جان، میں ابھی یہ سامان اندر رکھ دیتا ہوں۔,,,,,,,"""جی، چچا!"" اور وہ سامان کو اندر رکھنے لگتا ہے۔

چچا:
""آ",,,,,,,بھٹوں پر لگ دو۔,,,,,,,"""جی چچا، میں ابھی رکھ دیتا ہوں۔""",,,,,,,"""جی چچاجی، یقیناً رکھ دوں گا۔ لیکن پھر بھی مجھے بتائیے کیا",,,,,,
220,ساس,بہو,ساس گھر کے کام کاج کے حوالے سے آپ کو ہدایت دے رہی ہیں۔,آج کھانا وقت پر تیار ہونا چاہیے۔,جی امی جان، کھانا وقت پر تیار ہو جائے گا۔,,,,,,,جی امی، میں وقت پر کھانا تیار کر دوں گی۔ آپ فکر نہ کریں۔,,,,,,,"""جی، جی، میں نے سب کچن میں ہی چل رہی ہوں، پانی بھی",,,,,,,سنسنگر، میری بنیادی کارکردگی کو نشان دینے کی ضرورت ہے۔ آج ک,,,,,,,"""جی، ساس جانتی ہے کہ وقت کی پابندی ضروری ہے۔""
'''
Answer: ""جی، ساس جانتی",,,,,,
221,بزرگ,نوجوان,ایک بزرگ آپ کو ایک معمولی کام انجام دینے کی ہدایت دے رہے ہیں۔,دروازہ بند کر دو۔,جی، ابھی دروازہ بند کر دیتا ہوں۔,,,,,,,جی، بھائی جان! دروازہ بند کر لیں گا۔,,,,,,,جی، میں ابھی بند کر دیتا ہوں۔,,,,,,,میری مدد کریں، آپ کیا کرتے ہیں؟,,,,,,,"""جی، میں جانتا ہوں۔"" (Answer)",,,,,,
222,دوست,دوست,آپ نے اپنے دوست سے مدد مانگی تھی، لیکن اس نے بے رخی سے جواب دیا۔,خود ہی کر لو، میرے پاس وقت نہیں ہے۔,ٹھیک ہے یار، کوئی بات نہیں، خود ہی کر لیتا ہوں۔,,,,,,,"""کیوں، تم نے پچھلے ماہ میں مجھے بتایا تھا کہ تم میری مدد",,,,,,,"""مجھے افسوس ہے کہ آپ مجھ سے مدد مانگتے ہوئے بے رخی",,,,,,,"""یار، میں جانتا ہوں کہ تم مصروف ہو، لیکن میری واقعی مدد کی ضرورت ہے۔ کیا تم تھوڑی دیر کے لیے بھی وقت نکال سکتے ہو؟""",,,,,,,میں کیا کرتا ہوں جس کے لیے آپ کی مدد کیئے جاتا ہے؟,,,,,,
223,استاد,طالب علم,استاد کلاس میں نظم و ضبط برقرار رکھنے کے لیے ایک طالب علم کو سختی سے خاموش رہنے کا کہہ رہے ہیں۔,خاموش رہو۔,جی سر، معذرت چاہتا ہوں، آئندہ اس بات کا خیال رکھوں گا۔,,,,,,,میں خاموش ہوں، اماں!,,,,,,,"""میں خاموش رہتا ہوں، سر.""

(طالب علم خاموش رہتا ہے) 

استاد: """,,,,,,,خیر، استاد، آدمی بن جائے گا۔,,,,,,,جی استاد، میں خاموش رہوں گا۔,,,,,,
224,ساتھی,ساتھی,ایک ساتھی مشترکہ کام کی تقسیم کرتے ہوئے آپ کو ایک مخصوص حصہ سنبھالنے کی ذمہ داری دے رہا ہے۔,آپ یہ حصہ سنبھال لیں۔,ضرور، میں یہ کام سنبھال لیتا ہوں۔,,,,,,,تیری طرف سے کام کی تقسیم کرنے میں مدد چاہتے ہیں، تو تیری ناق,,,,,,,شکر ہوگا، میں اسے سنبھالتا ہوں۔ اب تو ہمارے پاس کچھ,,,,,,,"""جی ہاں، میں اس پر توجہ دوں گا."" (Answer)
'''
Answer: ""جی ہاں، می",,,,,,,"""ٹھیک ہے، میں یہ حصہ سنبھال لوں گا۔""",,,,,,
225,بھائی,بہن,بھائی حفاظت کے پیش نظر آپ کو باہر جانے سے روک رہا ہے۔,ابھی باہر مت جاؤ۔,اچھا، نہیں جاتی، لیکن مجھے جانا ضروری تھا۔,,,,,,,"""کیوں نہیں؟"" (اس سوال میں، بہن اپنی دلیل پیش کرنا چاہتی ہے",,,,,,,"""لیکن بھائی، مجھے ضروری کام ہے۔ میں جلدی واپس آ جاؤں گی۔""",,,,,,,میری ملاحظات کچھ مثبت کار کے لئے ہیں، نہیں تو آپ کی امنت کو خطرے,,,,,,,"""کیوں، بھائی؟ ابھی تو رات کا وقت ہے اور بارش بھی ہو رہی",,,,,,
226,دوست,دوست,آپ کے دوست نے اپنی مصروفیات کے باوجود آپ کی مدد کے لیے وقت نکالا ہے۔,یار، میں نے آج  تمہارا کام مکمل کر دیا۔,یار، تمہارا دل سے شکریہ، تم نے واقعی میرے لیے بہت وقت نکالا۔,,,,,,,"""واہ! تم تو واقعی بہترین دوست ہو، تمہاری مدد کے بغیر میں یہ نہیں کر پاتا۔ شکریہ!""",,,,,,,"""کیا یہ سچ ہے؟ میں تو سوچتا تھا کہ اب تک بہت کم ہوگیا",,,,,,,میری تیزی سے بہت شادی کرتا رہیںگے، میں کسی کچھ کے لیے ب,,,,,,,"""مجھے خوشی ہے کہ تم نے میری مدد کی۔ تمہاری دوستی کے لئے شک",,,,,,
227,دوست,دوست,آپ کا دوست آپ کی غیر موجودگی میں آپ کے لیے نوٹس لے آیا ہے۔,میں تمہارے لیے نوٹس لے آیا ہوں۔,بہت شکریہ یار، تم نے میری بڑی مدد کر دی۔,,,,,,,"""کیا ہوا؟ کیا ضرورت تھی؟""",,,,,,,"""تم نے مجھے اپنے پاس آنے کی ضرورت کیا تھا، اور اب تم وہاں نہی",,,,,,,"""واہ، یہ تو بہت اچھا کیا! شکریہ یار، تمہاری مدد ہمیشہ کام آتی ہے۔""",,,,,,,میری بھی کچھ پیشکسندیں ہیں، لیکن میں نہیں رہ سکتا۔,,,,,,
228,والد,بیٹا,آپ کے والد نے آپ کا ایک ضروری کام مکمل کر دیا ہے۔,میں تمہارے ضروری کاغذات دفتر جا کر جمع کرا آیا ہوں۔,بہت شکریہ ابو، آپ نے میری بڑی مشکل آسان کر دی۔,,,,,,,"""شکریہ ابو! آپ نے میری بہت مدد کی ہے۔""",,,,,,,"""شکریہ، آپ کی مدد بہت اہم تھی۔"" (Answer)
'''
Answer: شکر گزاری کا جواب د",,,,,,,"""شکر ہو، بابا! میں بہت خوش ہوں کہ آپ نے مجھے یہ کام",,,,,,,بات کر سکتا ہوں کہ میں اس کاروبار سے پہلے اس کا ذہن لگایا تھ,,,,,,
229,والدہ,بیٹی,والدہ بیماری کے دوران آپ کی دیکھ بھال کے لیے جاگتی رہی ہیں۔,بیٹا، میں کل رات تمہارے پاس ہی تھی تاکہ تمہیں کسی چیز کی ضرورت نہ ہو۔,امی، آپ کا بہت شکریہ، آپ نے میرا بہت خیال رکھا۔,,,,,,,"""والدے جان، مجھے تو کوئی خاص بات نہیں تھی، بس تمہارا ہوشیار �",,,,,,,"""والدہ جان، مجھے یقین ہے کہ تم نے میری دیکھ بھال کرنے ک�",,,,,,,میری والدین کی صحت کے لیے مصافر ہو جانے سے نہ چاہتا تھا۔,,,,,,,"""ماں، آپ کا بہت شکریہ۔ آپ کی محبت اور دیکھ بھال نے مجھے بہت حوصلہ دیا ہے۔""",,,,,,
230,استاد,طالب علم,استاد نے آپ کی تعلیمی مدد کے لیے اضافی وقت دیا ہے۔,امید ہے اب تمہیں یہ موضوع اچھی طرح سمجھ آ گیا ہوگا۔,سر، آپ کا بہت شکریہ، آپ کی مدد سے مجھے یہ موضوع اچھی طرح سمجھ آ گیا۔,,,,,,,"""جی، میں نے اس پر بہت زیادہ محنت کی ہے اور اب میں سمجھتا ہو",,,,,,,جی استاد، آپ کی مدد سے مجھے یہ موضوع بہتر طور پر سمجھ آ گیا ہے۔ شکریہ!,,,,,,,شکر ہوگا، اس کوشش سے مجھے بہت فائدہ ہوا ہے، می�,,,,,,,شکریہ استاد، تمہاری کمپیٹنسری کے لیے ممکنہ کئی مشکلیں بھ,,,,,,
