ID,User_Role,Model_Role,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
196,دوست,دوست,آپ بیماری کے بعد اپنے دوست کی خیریت دریافت کر رہے ہیں۔,یار، طبیعت اب کیسی ہے؟ سنا تھا تم بیمار تھے۔,الحمدللہ، اب پہلے سے کافی بہتر ہوں، تمہاری فکر کا شکریہ۔,,,,,,,"""شکریہ یار، اب بہتر ہوں۔ تھوڑی کمزوری محسوس ہو رہی ہے، لیکن ڈاکٹر نے کہا ہے کہ سب ٹھیک ہو جائے گا۔ تمہاری خیریت",,,,,,,میری طبیعت بہتر ہے، شکریہ کرتا ہوں کہ آپ نے میں کیلئے,,,,,,,"""اللہ کا شکر، میں بہت اچھا ہوں، صرف چند دن کا علاج لگ گیا",,,,,,,"""تمام صحت ہو!"" (Answer)
""مجھے خوشی ہے تم بہتر محسوس کر رہے",,,,,,
197,دوست,دوست,آپ اپنے دوست کی خیریت دریافت کر رہے ہیں جو حال ہی میں طبیعت خراب ہونے کی وجہ سے پریشان تھا۔,یار، طبیعت اب ٹھیک ہے نا؟,ہاں یار، اب کافی بہتر ہوں، بس تھوڑی کمزوری ہے۔,,,,,,,"""جی بھائی، طبیعت ٹھیک ہوگئی ہے، اللہ تعالیٰ نے رحمت کی۔",,,,,,,"""جی ہاں، اب ٹھیک ہو گیا ہے۔ آپ کو بھی یاد ہوگا،",,,,,,,بلیں، بہتر ہو گئی ہے۔ شکریہ کرتا ہوں کہ آپ کی خیریت,,,,,,,"""ہاں یار، اب کافی بہتر ہوں۔ تمہاری فکر کا شکریہ!""",,,,,,
198,والد,بیٹا,والد آپ کی بیماری کے بعد آپ کی خیریت دریافت کر رہے ہیں۔,بیٹا، اب طبیعت کیسی ہے؟ میں تمہارے بارے میں فکر مند تھا۔,جی ابو، اللہ کا شکر ہے، اب کافی بہتر ہوں، آپ کی فکر کا شکریہ۔,,,,,,,اب میں بہتر محسوس کر رہا ہوں، ابو۔ آپ کی دعاؤں کا اثر ہے۔ شکریہ!,,,,,,,"""والد جان، مجھے اللہ نے صحت بخشی ہے اور میں بہت خوش ہوں�",,,,,,,اب طبیعت میں بہت خوبصورت ہے، والد جانتے ہوئے میں آپ کیلئے ب,,,,,,,والد جان، میری طبیعت بہت اچھی ہے، اللہ نے مجھے صحت یاب کر دیا,,,,,,
199,والدہ,بیٹی,والدہ بیماری کے بعد آپ کی خیریت دریافت کر رہی ہیں۔,بیٹا، اب طبیعت ٹھیک ہے نا؟ میں تمہارے لیے پریشان تھی۔,جی امی، اب کافی بہتر ہوں، آپ فکر نہ کریں ۔,,,,,,,مамا، ایسی بات نہ کرو، میں آپ کیلئے ہیں جیسا کہ آپ میں س,,,,,,,جی ماں، اب میں بالکل ٹھیک ہوں۔ آپ کی دعاؤں کا اثر ہے۔ شکریہ!,,,,,,,"""والدہ جانتی ہیں کہ اب میں بہت اچھا محسوس کر رہا ہو",,,,,,,جی ماں، مجھے بھی چکراتے تھوڑی دیر ہوئی تھی مگر اب ٹھیک,,,,,,
200,بزرگ رشتہ دار,نوجوان,ایک بزرگ رشتہ دار آپ کی صحت کے بارے میں فکر مندی سے پوچھ رہے ہیں۔,بیٹا، اب صحت کیسی ہے؟ سب خیریت تو ہے؟,جی الحمدللہ، سب خیریت ہے، آپ کی دعاؤں کا بہت شکریہ۔,,,,,,,میں تمام وقت بہتر ہو رہا تھا، بابا۔,,,,,,,ابھی ٹھیک ہوں گا، چلو مجھے کھانا کرو۔,,,,,,,جی چچا، اللہ کا شکر ہے، میں بالکل ٹھیک ہوں۔ آپ کی دعاؤں کا اثر ہے۔ آپ کیسے ہیں؟,,,,,,,"""ابکل بہت اچھا محسوس کر رہا ہوں، بزرگ رشتہ دار صاحب!"" [Answer] 
''مج",,,,,,
201,پڑوسی,پڑوسی,ایک پڑوسی آپ کی خیریت دریافت کر رہا ہے کیونکہ وہ آپ کی بیماری کے بارے میں سن چکا ہے۔,سنا ہے آپ کی طبیعت کچھ دنوں سے خراب تھی، اب کیسی ہے؟,جی، اب کافی بہتر ہوں، پوچھنے کا شکریہ۔,,,,,,,میری بیماری کو کچھ بہتر بنانے کے لئے آپ نے کتنا خوبصورت کام کیا ہ,,,,,,,"""تمام صحت ہو، شکریہ!"" (جواب)
Answer: ""تمام صحت ہو، شکريہ!"" (جواب)",,,,,,,شکریہ، آپ کی فکر کا بہت شکریہ۔ اب میں بہتر محسوس کر رہا ہوں، بس آرام کر رہا ہوں۔ آپ کیسے ہیں؟,,,,,,,اللہ تعالیٰ نے میری صحت بہت اچھی دی ہے، اب ٹھیک ہو گی,,,,,,
202,استاد,طالب علم,استاد بیماری کی وجہ سے غیر حاضری پر آپ کی خیریت دریافت کر رہے ہیں۔,کیا اب طبیعت سنبھل گئی ہے؟,جی سر، اللہ کا شکر ہے، اب طبیعت کافی بہتر ہے۔,,,,,,,"""جی، اب میں بہتر محسوس کر رہا ہوں اور جلد دوبارہ کلاس میں واپس",,,,,,,جی، استاد صاحب، اب میں بہت اچھی طرح محسوس کر رہا ہوں، لیکن مجھے ای,,,,,,,خدا نے مراحت دے لیے ہے، استاد۔ صحت کیلئے کچھ وقت کھو کر گئے,,,,,,,جی استاد، الحمدللہ اب بہتر ہوں۔ آپ کی دعاوں کا شکریہ۔,,,,,,
203,دوست,دوست,دوست مذاق اور شکوک بھرے انداز میں آپ کی بیماری کے بارے میں پوچھ رہا ہے۔,ابھی بھی ڈرامہ چل رہا ہے یا واقعی طبیعت خراب ہے؟,یار، واقعی طبیعت خراب تھی، ہر چیز کو مذاق مت سمجھا کرو۔,,,,,,,"""نہیں نہیں، مجھے تو لگتا تھا کہ تم سے زیادہ مجھے",,,,,,,"""مجھے یقین نہیں آ رہا، بس ایک لمحے کا مزاج دیکھ لو!"" (مزاحی�",,,,,,,میری بیماری کچھ سخت ہے لیکن میں نے اس کے مقابلے میں قدم جاتے ہ,,,,,,,"""یار، واقعی طبیعت کچھ ٹھیک نہیں ہے، ڈرامہ نہیں کر رہا۔ بس آرام کر رہا ہوں۔""",,,,,,
204,سینئر,جونیئر,سینئر بیماری کے بعد آپ کی صحت اور کام کی صلاحیت کے بارے میں پوچھ رہا ہے۔,اب طبیعت بہتر ہے؟ کیا آپ معمول کے مطابق کام کر سکیں گے؟,جی سر، اب کافی بہتر ہوں اور معمول کے مطابق کام کر سکتا ہوں۔,,,,,,,میری صحت بہتر ہو گئی ہے، لیکن کام کرنے کی صلاحیت تک چند ر,,,,,,,"""جی ہاں، اب تک سب ٹھیک چل رہا ہے۔ بس ایک دو دن کے لئ�",,,,,,,اللہ تعالیٰ نے شکر ہے، اب طبیعت بہت بہتر ہے۔ مجھ�,,,,,,,جی، الحمدللہ اب طبیعت بہتر ہے۔ میں معمول کے مطابق کام کرنے کے لیے تیار ہوں۔,,,,,,
205,ساس,بہو,ساس بیماری کے بعد  آپ کی کی خیریت دریافت کر رہی ہیں۔,بیٹا، اب کمزوری تو نہیں؟,جی امی جان، اب کافی بہتر ہوں، آپ کی دعاؤں اور فکر کا شکریہ۔,,,,,,,"""سستی میری حالت کو سمجھنے کی کوشش کریں۔ میں جلد بحال ہونا چاہتا �",,,,,,,"""نہیں اماں، اب میں کافی بہتر محسوس کر رہی ہوں۔ آپ کی دعاؤں کا اثر ہے۔""",,,,,,,میں کچھ بہتر نہیں، لیکن میں کام کرتی ہوں تاکہ بیماری کی,,,,,,,"""جی ساس جان، اللہ نے مجھے اچھی صحت دی ہوئی ہے، شکر ہ�",,,,,,
206,دوست,دوست,آپ کا دوست آپ کی بیماری کو سنجیدگی سے نہیں لے رہا اور طنزیہ انداز میں بات کر رہا ہے۔,اب بھی طبیعت کا بہانہ چل رہا ہے؟,یار، واقعی طبیعت خراب تھی، ہر بات کو مذاق مت سمجھا کرو۔,,,,,,,"""ٹھیک ہے، ابھی تک تو صرف تھکاوٹ ہے، لیکن جب تک کہ میرا پیغ",,,,,,,میری بیماری کیسے طبیعت کا بہانہ چلتی ہے، وہ صرف میری پلیس,,,,,,,"""یار، یہ کوئی مذاق نہیں ہے، واقعی میری طبیعت ٹھیک نہیں ہے۔""",,,,,,,"""تمہاری طبیعت کے بارے میں سن کر مجھے افسوس ہوا، لیکن تمہارا یہ ب",,,,,,
207,بزرگ,نوجوان,ایک بزرگ آپ کی صحت یابی کے بارے میں فکر مندی کا اظہار کرتے ہوئے دوائی باقاعدگی سے لینے کی تلقین کر رہے ہیں۔,بیٹا، دوائی وقت پر لے رہے ہو نا؟ لاپرواہی مت کرنا۔,جی، میں دوائی وقت پر لے رہا ہوں، آپ کی نصیحت کا شکریہ۔,,,,,,,جی، بابا، مجھے تو یاد ہے لیکن کبھی کبھی فراموش ہو جاتا ہ�,,,,,,,جی جی، دادا، میں دوائی باقاعدگی سے لے رہا ہوں۔ آپ فکر نہ کریں، میں اپنی صحت کا خیال رکھ رہا ہوں۔,,,,,,,میری صحت کیلئے میں کسی وقت دوائی لیتا ہوں، آپ کی مدد کی جارہ,,,,,,,"""جی ہاں، ابو جان!"" (اسلام) [ابو جان] ""میں پوری طرح محتاط ہوں اور دو",,,,,,
208,ساتھی,ساتھی,ایک ساتھی آپ کی بیماری کے اثرات کے بارے میں پوچھ رہا ہے۔,طبیعت کی وجہ سے کام متاثر تو نہیں ہوا؟,کام مکمل ہو گیا تھا، اتنی بھی طبیعت خراب نہیں تھی جتنا سمجھا جا رہا ہے۔,,,,,,,نہیں، مجھے بہت کمزور محسوس ہوتا ہے، اور جب تک چلن,,,,,,,"""نہیں، میرے پاس بہت اچھا سپورٹ سسٹم ہے جو مجھے اپنا",,,,,,,میری بیماری نے طبیعت کو کوئی تاثیر نہیں دلای۔,,,,,,,"""نہیں، میں نے کوشش کی ہے کہ کام متاثر نہ ہو، لیکن کچھ دنوں میں تھکاوٹ محسوس ہوئی ہے۔""",,,,,,
209,کزن,کزن,آپ کا کزن بیماری کے بعد آپ کی خیریت دریافت کر رہا ہے۔,اب کیسا محسوس کر رہے ہو؟,طبیعت تو بہتر ہے، لیکن بیماری نے کافی پریشان کر دیا تھا۔,,,,,,,"""میں ٹھیک ہوں، شکریہ! تمہاری دعاوں کا اثر ہے۔""",,,,,,,اللہ تعالیٰ نے مجھے اچھی صحت عطا فرما دی ہے، مگر اب بھی می,,,,,,,میں بہت متعین ہوں، لیکن اچھا نہیں کہ بیماری کیلئے فاتح,,,,,,,"""میں اب بھی تھکان اور کمزوری کا شکار ہوں، لیکن میں جلد صحت یاب �",,,,,,
210,دوست,دوست,دوست بے صبری اور ہلکے طنزیہ انداز میں آپ کی صحت کے بارے میں پوچھ رہا ہے۔,آخر کب تک بیمار رہنے کا ارادہ ہے؟,ہاں یار، اب بہتر ہوں، لیکن اتنی جلدی بھی سب کچھ ٹھیک نہیں ہوتا۔,,,,,,,"""یار، بس تھوڑا وقت لگ رہا ہے، لیکن تم تو جانتے ہو، میں ہمیشہ جلدی ٹھیک ہو جاتا ہوں!""",,,,,,,میری صحت سب سے زیادہ بہتر ہے، لیکن چند روزات کے لیے بیٹا ر,,,,,,,"""تمام حالات میں، مجھے ابھی تک کوئی خاص مسئلہ نہیں دیکھا گیا."" (ط",,,,,,,"""ارے، ابھی تو مجھے کسی بیماری کا احساس نہیں ہوا ہے، بس تھکا �",,,,,,
211,والد,بیٹا,والد آپ کو ایک ضروری کام فوراً مکمل کرنے کی ہدایت دے رہے ہیں۔,یہ کام ابھی مکمل کرو۔,جی ابو، ابھی کر دیتا ہوں۔,,,,,,,میں اس کام کو آج مکمل کر لیں گے۔,,,,,,,اب بھی؟ والد صاحب، مجھے کچھ گھنٹوں میں ہی یہ کام مکمل کرنا تھا,,,,,,,جی والد، میں فوراً شروع کر دیتا ہوں۔,,,,,,,"""جی، میں اس پر توجہ دوں گا اور جلدی مکمل کروں گا۔""
'''
The father is telling the son to",,,,,,
212,والدہ,بیٹی,والدہ گھر کے کام کے سلسلے میں آپ کو کچن صاف کرنے کی ہدایت دے رہی ہیں۔,کچن صاف کر دو۔,جی امی، ابھی کچن صاف کر دیتی ہوں۔,,,,,,,میں اس کے لیے آپ کی خدمत کرتی ہوں۔ کچن کیلئے آپ کیا مدد,,,,,,,"""جی، ماما!"" (اس نے اپنی ماں کو سن کر کچن صاف کرنا شروع کر دیا) 

[بیٹی نے ک",,,,,,,"""جی امی، میں ابھی کرتی ہوں۔""",,,,,,,جی، ماں! اب جانتوں کہ کیا کرنا ہے۔ میں اس پر جل्द از جلد کام کر لو�,,,,,,
213,استاد,طالب علم,استاد کلاس میں آپ کو بورڈ پر سوال حل کرنے کی ہدایت دے رہے ہیں۔,یہ سوال بورڈ پر حل کرو۔,جی سر، میں ابھی اس سوال کو حل کرنے کی کوشش کرتا ہوں۔,,,,,,,میں اس سوال کا حل کر رہا ہوں۔,,,,,,,جی استاد، میں ابھی حل کرتا ہوں۔,,,,,,,جی، اسٹیڈ سیر، یہ سوال بہت مشکل لگتا ہے لیکن مجھے کوشش کرنی چا,,,,,,,"""جی، سر!"" (Answering the teacher) ""میں اسے حل کر سکتا ہوں."" (Solving the question on the board)
'''",,,,,,
214,افسر,ملازم,افسرآپ کو ایک اہم رپورٹ وقت پر جمع کرانے کی ہدایت دے رہا ہے۔,یہ رپورٹ آج ہی مکمل کرکے جمع کرائیں۔,جی سر، میں یہ رپورٹ آج ہی جمع کرا دوں گا۔,,,,,,,"""جی، سر، میں اس رپورٹ کو مکمل کرنے کے لئے اپنی بہترین کوشش کروں",,,,,,,جی افسر صاحب، میں یہ رپورٹ آج ہی مکمل کرنے کی کوشش کر رہا ہو,,,,,,,جی افسر، میں اسے وقت پر مکمل کرکے جمع کراؤں گا۔,,,,,,,بلکہ، میں آج بھی تمام معلومات جمع کرنے کے لئے سعات کچھ زیادہ کھولنے,,,,,,
215,دوست,دوست,آپ دونوں ایک ساتھ کام کر رہے ہیں اور آپ کا دوست آپ سے فائل مانگ رہا ہے۔,یار، ذرا وہ فائل مجھے پکڑا دو۔,بالکل، میں ابھی دے دیتا ہوں۔,,,,,,,"""کیا تو اس میں کوئی خاص بات نہیں ہے؟ ابھی چند منٹ قبل ہی میں ن",,,,,,,"""کیوں نہیں؟ یہ میری فائلوں میں سب سے اہم ہے.""

دو",,,,,,,"""ہاں، بالکل! یہ لو، یہ رہی فائل۔""",,,,,,,یار، میری کمپیوٹر سے بچنے کے لئے کچھ وقت لازم ہے، لیکن ص,,,,,,
216,دوست,دوست,آپ کا دوست غصے یا جھنجھلاہٹ میں آپ کو خاموش رہنے کا کہہ رہا ہے۔,بس چپ ہو جاؤ اور میری بات سنو۔,ٹھیک ہے یار، لیکن آرام سے بھی بات کر سکتے ہو۔,,,,,,,"""کیا ہوا، مجھے کیا کرنا پڑا؟""",,,,,,,"""ٹھیک ہے، میں خاموش رہوں گا، لیکن میری بات بھی سن لو۔""",,,,,,,بس چپ ہو جاؤ اور میری بات سنو۔,,,,,,,"""مجھے یقین نہیں آ رہا کہ تم اس وقت بھی مجھ سے اختلاف کر رہے",,,,,,
217,سینئر,جونیئر,سینئر آپ سے میٹنگ کی دستاویزات جلد از جلد شیئر کرنے کا کہہ رہا ہے۔,میٹنگ کے نوٹس فوراً بھیج دو۔,جی سر، میں ابھی نوٹس بھیج دیتا ہوں۔,,,,,,,"""جی، میں ابھی انہیں تیار کر کے بھیج دیتا ہوں۔""",,,,,,,بلکہ میں آپ کیلئے نوٹس بنائے گا اور پھر بھیج دوںgayn,,,,,,,"""جی، سینئر۔ میں نے ابھی ان کو بھیجا ہے۔""",,,,,,,جی، سر! میٹنگ کے نوٹس ابھی چلے جاتے ہیں۔,,,,,,
218,سینئر,جونیئر,سینئر کام کے معیار سے مطمئن نہیں ہے اور  آپ کو اسے دوبارہ کرنے کا حکم دے رہا ہے۔,یہ کام دوبارہ کرنا پڑے گا۔,جی سر، میں اسے دوبارہ کر دیتا ہوں۔,,,,,,,"""جی، میں اسے بہتر کرنے کی کوشش کروں گا۔ آپ کی رہنمائی کے لیے شکریہ۔""",,,,,,,"""ہوں، میں یقین نہیں کر سکتا کہ یہ صحیح ہے."" (اس",,,,,,,صرف ایک بار کیا کرتے ہوئے یہاں تک کہ نہیں بتایا تھا ک,,,,,,,میری کام کی ضمانت چاہئیں، میں اسے بہت زیادہ تلاش کرتا ہو,,,,,,
219,چچا,بھتیجا,چچا گھر کے کام میں آپ سے مدد لے رہے ہیں۔,یہ سامان اندر رکھ دو۔,جی چچا جان، میں ابھی یہ سامان اندر رکھ دیتا ہوں۔,,,,,,,"""جی، چچا!"" اور وہ سامان کو اندر رکھنے لگتا ہے۔

چچا:
""آ",,,,,,,"""جی چچا، میں ابھی رکھ دیتا ہوں۔""",,,,,,,"""جی چچاجی، یقیناً رکھ دوں گا۔ لیکن پھر بھی مجھے بتائیے کیا",,,,,,,بھٹوں پر لگ دو۔,,,,,,
220,ساس,بہو,ساس گھر کے کام کاج کے حوالے سے آپ کو ہدایت دے رہی ہیں۔,آج کھانا وقت پر تیار ہونا چاہیے۔,جی امی جان، کھانا وقت پر تیار ہو جائے گا۔,,,,,,,"""جی، جی، میں نے سب کچن میں ہی چل رہی ہوں، پانی بھی",,,,,,,"""جی، ساس جانتی ہے کہ وقت کی پابندی ضروری ہے۔""
'''
Answer: ""جی، ساس جانتی",,,,,,,جی امی، میں وقت پر کھانا تیار کر دوں گی۔ آپ فکر نہ کریں۔,,,,,,,سنسنگر، میری بنیادی کارکردگی کو نشان دینے کی ضرورت ہے۔ آج ک,,,,,,
221,بزرگ,نوجوان,ایک بزرگ آپ کو ایک معمولی کام انجام دینے کی ہدایت دے رہے ہیں۔,دروازہ بند کر دو۔,جی، ابھی دروازہ بند کر دیتا ہوں۔,,,,,,,میری مدد کریں، آپ کیا کرتے ہیں؟,,,,,,,"""جی، میں جانتا ہوں۔"" (Answer)",,,,,,,جی، بھائی جان! دروازہ بند کر لیں گا۔,,,,,,,جی، میں ابھی بند کر دیتا ہوں۔,,,,,,
222,دوست,دوست,آپ نے اپنے دوست سے مدد مانگی تھی، لیکن اس نے بے رخی سے جواب دیا۔,خود ہی کر لو، میرے پاس وقت نہیں ہے۔,ٹھیک ہے یار، کوئی بات نہیں، خود ہی کر لیتا ہوں۔,,,,,,,"""یار، میں جانتا ہوں کہ تم مصروف ہو، لیکن میری واقعی مدد کی ضرورت ہے۔ کیا تم تھوڑی دیر کے لیے بھی وقت نکال سکتے ہو؟""",,,,,,,"""مجھے افسوس ہے کہ آپ مجھ سے مدد مانگتے ہوئے بے رخی",,,,,,,"""کیوں، تم نے پچھلے ماہ میں مجھے بتایا تھا کہ تم میری مدد",,,,,,,میں کیا کرتا ہوں جس کے لیے آپ کی مدد کیئے جاتا ہے؟,,,,,,
223,استاد,طالب علم,استاد کلاس میں نظم و ضبط برقرار رکھنے کے لیے ایک طالب علم کو سختی سے خاموش رہنے کا کہہ رہے ہیں۔,خاموش رہو۔,جی سر، معذرت چاہتا ہوں، آئندہ اس بات کا خیال رکھوں گا۔,,,,,,,میں خاموش ہوں، اماں!,,,,,,,"""میں خاموش رہتا ہوں، سر.""

(طالب علم خاموش رہتا ہے) 

استاد: """,,,,,,,خیر، استاد، آدمی بن جائے گا۔,,,,,,,جی استاد، میں خاموش رہوں گا۔,,,,,,
224,ساتھی,ساتھی,ایک ساتھی مشترکہ کام کی تقسیم کرتے ہوئے آپ کو ایک مخصوص حصہ سنبھالنے کی ذمہ داری دے رہا ہے۔,آپ یہ حصہ سنبھال لیں۔,ضرور، میں یہ کام سنبھال لیتا ہوں۔,,,,,,,"""جی ہاں، میں اس پر توجہ دوں گا."" (Answer)
'''
Answer: ""جی ہاں، می",,,,,,,شکر ہوگا، میں اسے سنبھالتا ہوں۔ اب تو ہمارے پاس کچھ,,,,,,,"""ٹھیک ہے، میں یہ حصہ سنبھال لوں گا۔""",,,,,,,تیری طرف سے کام کی تقسیم کرنے میں مدد چاہتے ہیں، تو تیری ناق,,,,,,
225,بھائی,بہن,بھائی حفاظت کے پیش نظر آپ کو باہر جانے سے روک رہا ہے۔,ابھی باہر مت جاؤ۔,اچھا، نہیں جاتی، لیکن مجھے جانا ضروری تھا۔,,,,,,,"""کیوں، بھائی؟ ابھی تو رات کا وقت ہے اور بارش بھی ہو رہی",,,,,,,"""کیوں نہیں؟"" (اس سوال میں، بہن اپنی دلیل پیش کرنا چاہتی ہے",,,,,,,"""لیکن بھائی، مجھے ضروری کام ہے۔ میں جلدی واپس آ جاؤں گی۔""",,,,,,,میری ملاحظات کچھ مثبت کار کے لئے ہیں، نہیں تو آپ کی امنت کو خطرے,,,,,,
226,دوست,دوست,آپ کے دوست نے اپنی مصروفیات کے باوجود آپ کی مدد کے لیے وقت نکالا ہے۔,یار، میں نے آج  تمہارا کام مکمل کر دیا۔,یار، تمہارا دل سے شکریہ، تم نے واقعی میرے لیے بہت وقت نکالا۔,,,,,,,"""کیا یہ سچ ہے؟ میں تو سوچتا تھا کہ اب تک بہت کم ہوگیا",,,,,,,"""واہ! تم تو واقعی بہترین دوست ہو، تمہاری مدد کے بغیر میں یہ نہیں کر پاتا۔ شکریہ!""",,,,,,,"""مجھے خوشی ہے کہ تم نے میری مدد کی۔ تمہاری دوستی کے لئے شک",,,,,,,میری تیزی سے بہت شادی کرتا رہیںگے، میں کسی کچھ کے لیے ب,,,,,,
227,دوست,دوست,آپ کا دوست آپ کی غیر موجودگی میں آپ کے لیے نوٹس لے آیا ہے۔,میں تمہارے لیے نوٹس لے آیا ہوں۔,بہت شکریہ یار، تم نے میری بڑی مدد کر دی۔,,,,,,,"""کیا ہوا؟ کیا ضرورت تھی؟""",,,,,,,"""واہ، یہ تو بہت اچھا کیا! شکریہ یار، تمہاری مدد ہمیشہ کام آتی ہے۔""",,,,,,,میری بھی کچھ پیشکسندیں ہیں، لیکن میں نہیں رہ سکتا۔,,,,,,,"""تم نے مجھے اپنے پاس آنے کی ضرورت کیا تھا، اور اب تم وہاں نہی",,,,,,
228,والد,بیٹا,آپ کے والد نے آپ کا ایک ضروری کام مکمل کر دیا ہے۔,میں تمہارے ضروری کاغذات دفتر جا کر جمع کرا آیا ہوں۔,بہت شکریہ ابو، آپ نے میری بڑی مشکل آسان کر دی۔,,,,,,,بات کر سکتا ہوں کہ میں اس کاروبار سے پہلے اس کا ذہن لگایا تھ,,,,,,,"""شکریہ، آپ کی مدد بہت اہم تھی۔"" (Answer)
'''
Answer: شکر گزاری کا جواب د",,,,,,,"""شکر ہو، بابا! میں بہت خوش ہوں کہ آپ نے مجھے یہ کام",,,,,,,"""شکریہ ابو! آپ نے میری بہت مدد کی ہے۔""",,,,,,
229,والدہ,بیٹی,والدہ بیماری کے دوران آپ کی دیکھ بھال کے لیے جاگتی رہی ہیں۔,بیٹا، میں کل رات تمہارے پاس ہی تھی تاکہ تمہیں کسی چیز کی ضرورت نہ ہو۔,امی، آپ کا بہت شکریہ، آپ نے میرا بہت خیال رکھا۔,,,,,,,"""والدہ جان، مجھے یقین ہے کہ تم نے میری دیکھ بھال کرنے ک�",,,,,,,میری والدین کی صحت کے لیے مصافر ہو جانے سے نہ چاہتا تھا۔,,,,,,,"""والدے جان، مجھے تو کوئی خاص بات نہیں تھی، بس تمہارا ہوشیار �",,,,,,,"""ماں، آپ کا بہت شکریہ۔ آپ کی محبت اور دیکھ بھال نے مجھے بہت حوصلہ دیا ہے۔""",,,,,,
230,استاد,طالب علم,استاد نے آپ کی تعلیمی مدد کے لیے اضافی وقت دیا ہے۔,امید ہے اب تمہیں یہ موضوع اچھی طرح سمجھ آ گیا ہوگا۔,سر، آپ کا بہت شکریہ، آپ کی مدد سے مجھے یہ موضوع اچھی طرح سمجھ آ گیا۔,,,,,,,جی استاد، آپ کی مدد سے مجھے یہ موضوع بہتر طور پر سمجھ آ گیا ہے۔ شکریہ!,,,,,,,"""جی، میں نے اس پر بہت زیادہ محنت کی ہے اور اب میں سمجھتا ہو",,,,,,,شکریہ استاد، تمہاری کمپیٹنسری کے لیے ممکنہ کئی مشکلیں بھ,,,,,,,شکر ہوگا، اس کوشش سے مجھے بہت فائدہ ہوا ہے، می�,,,,,,
231,طالب علم,استاد,استاد نے آپ کو اضافی رہنمائی اور مشورے دیے ہیں اور مزید مدد کی پیشکش کر رہے ہیں۔,اگر تمہیں مزید کچھ پوچھنا ہو تو تم میرے دفتر آ سکتے ہو۔,سر، آپ کی رہنمائی اور تعاون کا بہت شکریہ۔,,,,,,,"""بہت شکریہ، میں ضرور آؤں گا۔ آپ کی رہنمائی میرے لیے بہت مددگار ثابت ہو رہی ہے۔""",,,,,,,میں بھی آپ کے لیے دفتر میں وقت رکھ سکتا ہوں، جس میں آپ کو ک,,,,,,,"""شکر ہے، میں ضرور آئیں گا، لیکن ابھی یہاں پر ہی کچ",,,,,,,"""تمہاری مدد کرنے میں خوشی ہوتی ہے، مجھے یقین ہے ک�",,,,,,
232,پڑوسی,پڑوسی,آپ کے پڑوسی نے ضرورت کے وقت آپ کی مدد کی ہے۔,مجھے خوشی ہے کہ میں وقت پر آپ کی مدد کر سکا۔,آپ کا بہت شکریہ، آپ کی بروقت مدد میرے بہت کام آئی۔,,,,,,,"""آپ کی مدد کرنا میرے لیے خوشی کی بات ہے، ہم سب کو ایک دوسرے کا ساتھ دینا چاہیے۔""",,,,,,,"""اللہ تعالیٰ نے تمہیں بھی ایسا ہوتا دیکھا، اب مجھے اپ",,,,,,,میری بھی خوشی ہے کہ میں آپ کی ضرورت کو ملا سکی۔,,,,,,,"""کیا کوئی مسئلہ تھا؟""
'''
Answer: ""مجھے خوشی ہے کہ میں وقت پر آپ کی",,,,,,
233,دوست,دوست,آپ کے دوست نے آپ کی اسائنمنٹ مکمل کر دی کیونکہ آپ گھر کے ایک ضروری کام میں مصروف تھے۔,یہ لو، میں نے تمہاری اسائنمنٹ کر دی تھی۔,یار، تمہارا بہت شکریہ، ورنہ مجھے اس کی بہت ٹینشن تھی۔,,,,,,,"""تمہارا شکریہ! مجھے یقین نہیں آ رہا کہ تم نے یہ کیس",,,,,,,"""کیا ہو گیا؟ ابھی تو بس کئی دن باقی تھے?""",,,,,,,"""واہ، تم نے تو میری جان بچا دی! شکریہ یار، تمہاری مدد کے بغیر میں نہیں کر پاتا۔""",,,,,,,میری بہت سخت کل کی تھی، لیکن تم نے مدد کرتے رہیں۔ شکریہ!,,,,,,
234,سینئر,جونیئر,سینئر آپ کی کارکردگی اور محنت کو سراہ رہے ہیں۔,آپ نے بہت محنت کی ہے، جو صاف نظر آ رہی ہے۔,شکریہ سر۔ یہ سب آپ کی رہنمائی کا نتیجہ ہے۔,,,,,,,"""شکر ہے، میں اس سے مطمئن ہوں.""

[Out] ""شکر ہے، می",,,,,,,"""شکریہ! آپ کی رہنمائی اور حمایت کا بہت شکریہ، اس نے مجھے مزید محنت کرنے کی تحریک دی ہے۔""",,,,,,,میری کام کی کمی کو بتائیں گے، آپ نے میں کچھ بہتر بننے کی کوش,,,,,,,شکر ہوگا کہ آپ میرے کام پر یقین کر رہے ہیں، میں اپنی ص,,,,,,
